id;start_date;end_date;language
1;2019-10-08T06:33:35;2019-10-07T23:41:52;SPANISH
2;2019-10-08T08:03:40;2019-10-07T17:09:51;ENGLISH
3;2019-10-08T03:35:45;2019-10-07T18:59:45;FRENCH
4;2019-10-07T16:47:36;2019-10-08T00:14:38;FRENCH
5;2019-10-08T01:46:15;2019-10-08T06:30:24;SPANISH
6;2019-10-08T08:03:16;2019-10-08T09:20:12;ENGLISH
7;2019-10-07T17:25:36;2019-10-08T06:06:23;FRENCH
8;2019-10-07T14:56:55;2019-10-07T22:57:04;SPANISH
9;2019-10-08T00:45:01;2019-10-08T09:09:39;FRENCH
10;2019-10-08T04:03:10;2019-10-08T01:19:25;SPANISH
